context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
4097,4,"(10, 1)",128,64,torch.bfloat16,4,False,24.17270707070712,,28.129150690579245,0,0.1369711276947514,,,57.70819999999994,205%,NaN
4097,80,"(10, 1)",128,64,torch.bfloat16,1,False,89.08193814432984,235.3167746938775,62.298945263157925,0,1.2279314835231236,,,58.49208421052632,94%,NaN
4097,80,"(10, 1)",128,64,torch.bfloat16,2,False,117.17224489795916,316.7785918367348,112.48761117078405,0,0.6817204134365651,,,110.83182608695658,99%,NaN
4097,80,"(10, 1)",128,64,torch.bfloat16,3,False,166.47171999999998,,115.21634000000009,0,0.6671915225632191,,,148.20048484848476,129%,NaN
4097,80,"(10, 1)",128,64,torch.bfloat16,4,False,196.6031546391752,,129.59803550561793,0,0.5945894899027564,,,694.0425858585855,536%,NaN
4097,128,"(10, 1)",128,64,torch.bfloat16,1,False,136.71319999999994,380.69724,92.94625999999991,0,1.3168699638507753,,,88.01637113402056,95%,NaN
4097,128,"(10, 1)",128,64,torch.bfloat16,2,False,182.93615999999992,519.8526734693878,175.8035587719298,0,0.6979162545242641,,,174.53254,99%,NaN
4097,128,"(10, 1)",128,64,torch.bfloat16,3,False,266.80085714285747,,179.6361806239737,0,0.6846849229748325,,,236.00671999999997,131%,NaN
4097,128,"(10, 1)",128,64,torch.bfloat16,4,False,309.2462653061224,,205.73995691609971,0,0.5992623385654433,,,1120.2658947368425,545%,NaN
512,4,"(16, 1)",128,64,torch.bfloat16,1,False,14.929216494845274,19.152908888888838,12.978888979591801,0,0.03788755109703067,,,14.258479166666726,110%,NaN
512,4,"(16, 1)",128,64,torch.bfloat16,2,False,18.002525252525267,25.00440907029476,19.288844040403994,0,0.02626593276038583,,,16.907857142857164,88%,NaN
512,4,"(16, 1)",128,64,torch.bfloat16,3,False,20.90379591836742,,19.5826458462173,0,0.026632797522884874,,,19.721714285714356,101%,NaN
512,4,"(16, 1)",128,64,torch.bfloat16,4,False,23.592270833333384,,24.304775102040757,0,0.022071457181822393,,,46.940424242424285,193%,NaN
512,80,"(16, 1)",128,64,torch.bfloat16,1,False,24.030172839506175,33.3279498969072,16.971777777777746,0,0.5794776785739412,,,21.222060000000056,125%,NaN
512,80,"(16, 1)",128,64,torch.bfloat16,2,False,33.484404494382,44.64690666666669,29.041591428571436,0,0.34890614161893535,,,31.227191919191977,108%,NaN
512,80,"(16, 1)",128,64,torch.bfloat16,3,False,43.169253012048095,,27.287699999999962,0,0.38225328025789534,,,42.14397979797974,154%,NaN
512,80,"(16, 1)",128,64,torch.bfloat16,4,False,53.92215053763441,,36.77499102040827,0,0.29174272411423147,,,118.12408163265306,321%,NaN
512,128,"(16, 1)",128,64,torch.bfloat16,1,False,35.383186813186924,59.57576842105264,23.029426637509072,0,0.6832834559186894,,,28.65846000000001,124%,NaN
512,128,"(16, 1)",128,64,torch.bfloat16,2,False,51.69387234042549,81.7137061224489,37.45244444444434,0,0.43288131440806904,,,49.15022916666667,131%,NaN
512,128,"(16, 1)",128,64,torch.bfloat16,3,False,70.72248936170219,,40.9596973819831,0,0.4074566367389833,,,67.13953191489371,164%,NaN
512,128,"(16, 1)",128,64,torch.bfloat16,4,False,89.09955319148948,,53.35336020618561,0,0.3217442655715302,,,207.40823999999992,389%,NaN
4096,4,"(16, 1)",128,64,torch.bfloat16,1,False,15.647680000000058,21.929578367346963,15.535591515151447,0,0.24650483524131941,,,14.901070707070582,96%,NaN
4096,4,"(16, 1)",128,64,torch.bfloat16,2,False,18.665639999999993,29.027381414141423,23.648099999999896,0,0.1625711828016928,,,17.954080000000012,76%,NaN
4096,4,"(16, 1)",128,64,torch.bfloat16,3,False,23.448545454545492,,24.590929090909036,0,0.15694408027199408,,,20.588900000000017,84%,NaN
4096,4,"(16, 1)",128,64,torch.bfloat16,4,False,27.747680000000017,,31.21374,0,0.12412168200287406,,,56.50648484848491,181%,NaN
4096,80,"(16, 1)",128,64,torch.bfloat16,1,False,86.49111111111121,219.41849711340203,61.16143148936182,0,1.2522919537895227,,,58.779191919192016,96%,NaN
4096,80,"(16, 1)",128,64,torch.bfloat16,2,False,117.53099999999993,302.2271326582279,109.98959999999997,0,0.6990660186077039,,,109.62581818181822,100%,NaN
